"","cluster_id","sample_id","group_id"
"cell177","CD14+ Monocytes","ctrl101.A","A"
"cell178","CD14+ Monocytes","ctrl101.A","A"
"cell179","CD4 T cells","ctrl101.A","A"
"cell180","CD14+ Monocytes","ctrl107.A","A"
"cell181","CD4 T cells","ctrl101.A","A"
"cell182","CD4 T cells","ctrl101.A","A"
"cell183","CD4 T cells","ctrl101.A","A"
"cell184","CD14+ Monocytes","ctrl107.A","A"
"cell185","CD4 T cells","ctrl107.A","A"
"cell186","CD14+ Monocytes","ctrl101.A","A"
"cell187","CD4 T cells","ctrl101.A","A"
"cell188","CD4 T cells","ctrl101.B","B"
"cell189","CD14+ Monocytes","ctrl101.A","A"
"cell190","CD4 T cells","ctrl101.A","A"
"cell191","CD14+ Monocytes","ctrl101.A","A"
"cell192","CD14+ Monocytes","ctrl101.A","A"
"cell193","CD4 T cells","ctrl101.A","A"
"cell194","CD14+ Monocytes","ctrl101.A","A"
"cell195","CD4 T cells","ctrl101.A","A"
"cell196","CD4 T cells","ctrl101.A","A"
"cell197","CD4 T cells","ctrl101.A","A"
"cell198","CD14+ Monocytes","ctrl101.A","A"
"cell199","CD14+ Monocytes","ctrl101.A","A"
"cell200","CD4 T cells","ctrl101.A","A"
"cell201","CD4 T cells","ctrl101.A","A"
"cell202","CD4 T cells","ctrl101.A","A"
"cell203","CD14+ Monocytes","ctrl101.A","A"
"cell204","CD14+ Monocytes","ctrl101.A","A"
"cell205","CD14+ Monocytes","ctrl101.A","A"
"cell206","CD4 T cells","ctrl101.A","A"
"cell207","CD14+ Monocytes","ctrl101.A","A"
"cell208","CD14+ Monocytes","ctrl101.A","A"
"cell209","CD14+ Monocytes","ctrl101.A","A"
"cell210","CD4 T cells","ctrl101.A","A"
"cell211","CD14+ Monocytes","ctrl101.A","A"
"cell212","CD4 T cells","ctrl101.A","A"
"cell213","CD14+ Monocytes","ctrl101.A","A"
"cell214","CD4 T cells","ctrl101.B","B"
"cell215","CD4 T cells","ctrl101.A","A"
"cell216","CD4 T cells","ctrl107.A","A"
"cell217","CD4 T cells","ctrl101.A","A"
"cell218","CD4 T cells","ctrl101.A","A"
"cell219","CD14+ Monocytes","ctrl101.A","A"
"cell220","CD4 T cells","ctrl101.A","A"
"cell221","CD14+ Monocytes","ctrl101.A","A"
"cell222","CD14+ Monocytes","ctrl101.B","B"
"cell223","CD14+ Monocytes","ctrl101.B","B"
"cell224","CD14+ Monocytes","ctrl101.A","A"
"cell225","CD4 T cells","ctrl101.A","A"
"cell226","CD4 T cells","ctrl101.A","A"
"cell227","CD14+ Monocytes","ctrl101.A","A"
"cell228","CD14+ Monocytes","ctrl101.A","A"
"cell229","CD14+ Monocytes","ctrl101.A","A"
"cell230","CD4 T cells","ctrl101.A","A"
"cell231","CD14+ Monocytes","ctrl101.A","A"
"cell232","CD4 T cells","ctrl101.A","A"
"cell233","CD14+ Monocytes","ctrl101.A","A"
"cell234","CD4 T cells","ctrl101.A","A"
"cell235","CD4 T cells","ctrl101.A","A"
"cell236","CD14+ Monocytes","ctrl101.B","B"
"cell237","CD4 T cells","ctrl101.A","A"
"cell238","CD4 T cells","ctrl101.A","A"
"cell239","CD14+ Monocytes","ctrl101.A","A"
"cell240","CD4 T cells","ctrl101.A","A"
"cell241","CD4 T cells","ctrl101.A","A"
"cell242","CD4 T cells","ctrl101.B","B"
"cell243","CD14+ Monocytes","ctrl101.A","A"
"cell244","CD4 T cells","ctrl101.A","A"
"cell245","CD4 T cells","ctrl101.A","A"
"cell246","CD14+ Monocytes","ctrl101.A","A"
"cell247","CD4 T cells","ctrl101.B","B"
"cell248","CD4 T cells","ctrl101.A","A"
"cell249","CD4 T cells","ctrl101.A","A"
"cell250","CD4 T cells","ctrl107.A","A"
"cell251","CD4 T cells","ctrl101.A","A"
"cell252","CD4 T cells","ctrl101.A","A"
"cell253","CD14+ Monocytes","ctrl101.A","A"
"cell254","CD14+ Monocytes","ctrl107.A","A"
"cell255","CD4 T cells","ctrl101.A","A"
"cell256","CD4 T cells","ctrl101.A","A"
"cell257","CD4 T cells","ctrl101.A","A"
"cell258","CD14+ Monocytes","ctrl101.A","A"
"cell259","CD4 T cells","ctrl101.A","A"
"cell260","CD4 T cells","ctrl101.A","A"
"cell261","CD14+ Monocytes","ctrl101.A","A"
"cell262","CD14+ Monocytes","ctrl107.A","A"
"cell263","CD4 T cells","ctrl101.A","A"
"cell264","CD14+ Monocytes","ctrl101.A","A"
"cell265","CD14+ Monocytes","ctrl101.A","A"
"cell266","CD14+ Monocytes","ctrl101.B","B"
"cell267","CD4 T cells","ctrl101.A","A"
"cell268","CD14+ Monocytes","ctrl101.A","A"
"cell269","CD4 T cells","ctrl101.A","A"
"cell270","CD14+ Monocytes","ctrl101.B","B"
"cell271","CD4 T cells","ctrl101.A","A"
"cell272","CD4 T cells","ctrl107.A","A"
"cell273","CD14+ Monocytes","ctrl101.A","A"
"cell274","CD4 T cells","ctrl101.A","A"
"cell275","CD4 T cells","ctrl101.A","A"
"cell276","CD4 T cells","ctrl101.A","A"
"cell277","CD4 T cells","ctrl101.A","A"
"cell278","CD4 T cells","ctrl101.A","A"
"cell279","CD4 T cells","ctrl101.A","A"
"cell280","CD4 T cells","ctrl101.A","A"
"cell281","CD4 T cells","ctrl101.A","A"
"cell282","CD4 T cells","ctrl107.A","A"
"cell283","CD14+ Monocytes","ctrl101.A","A"
"cell284","CD4 T cells","ctrl101.A","A"
"cell285","CD4 T cells","ctrl101.A","A"
"cell286","CD4 T cells","ctrl101.A","A"
"cell287","CD14+ Monocytes","ctrl101.A","A"
"cell288","CD14+ Monocytes","ctrl101.A","A"
"cell289","CD14+ Monocytes","ctrl101.A","A"
"cell290","CD14+ Monocytes","ctrl101.A","A"
"cell291","CD4 T cells","ctrl101.A","A"
"cell292","CD14+ Monocytes","ctrl101.A","A"
"cell293","CD14+ Monocytes","ctrl101.A","A"
"cell294","CD14+ Monocytes","ctrl101.A","A"
"cell295","CD4 T cells","ctrl101.B","B"
"cell296","CD4 T cells","ctrl107.A","A"
"cell297","CD4 T cells","ctrl101.A","A"
"cell298","CD14+ Monocytes","ctrl101.B","B"
"cell299","CD14+ Monocytes","ctrl107.A","A"
"cell300","CD4 T cells","ctrl101.A","A"
"cell301","CD14+ Monocytes","ctrl101.A","A"
"cell302","CD4 T cells","ctrl101.A","A"
"cell303","CD14+ Monocytes","ctrl101.A","A"
"cell304","CD14+ Monocytes","ctrl101.B","B"
"cell305","CD14+ Monocytes","ctrl107.A","A"
"cell306","CD14+ Monocytes","ctrl101.A","A"
"cell307","CD14+ Monocytes","ctrl101.B","B"
"cell308","CD14+ Monocytes","ctrl101.A","A"
"cell309","CD14+ Monocytes","ctrl101.A","A"
"cell310","CD14+ Monocytes","ctrl101.A","A"
"cell311","CD14+ Monocytes","ctrl101.A","A"
"cell312","CD14+ Monocytes","ctrl101.A","A"
"cell313","CD14+ Monocytes","ctrl101.B","B"
"cell314","CD14+ Monocytes","ctrl101.A","A"
"cell315","CD4 T cells","ctrl101.A","A"
"cell316","CD14+ Monocytes","ctrl101.A","A"
"cell317","CD14+ Monocytes","ctrl101.A","A"
"cell318","CD4 T cells","ctrl101.A","A"
"cell319","CD14+ Monocytes","ctrl101.A","A"
"cell320","CD14+ Monocytes","ctrl101.A","A"
"cell321","CD14+ Monocytes","ctrl101.B","B"
"cell322","CD14+ Monocytes","ctrl101.B","B"
"cell323","CD14+ Monocytes","ctrl101.A","A"
"cell324","CD14+ Monocytes","ctrl107.A","A"
"cell325","CD4 T cells","ctrl101.A","A"
"cell326","CD4 T cells","ctrl101.A","A"
"cell327","CD14+ Monocytes","ctrl101.A","A"
"cell328","CD4 T cells","ctrl101.A","A"
"cell329","CD14+ Monocytes","ctrl101.A","A"
"cell330","CD14+ Monocytes","ctrl101.A","A"
"cell331","CD14+ Monocytes","ctrl101.A","A"
"cell332","CD14+ Monocytes","ctrl101.B","B"
"cell333","CD14+ Monocytes","ctrl101.A","A"
"cell334","CD4 T cells","ctrl107.B","B"
"cell335","CD14+ Monocytes","ctrl101.A","A"
"cell336","CD4 T cells","ctrl101.A","A"
"cell337","CD4 T cells","ctrl101.A","A"
"cell338","CD14+ Monocytes","ctrl101.B","B"
"cell339","CD4 T cells","ctrl101.A","A"
"cell340","CD14+ Monocytes","ctrl101.A","A"
"cell341","CD14+ Monocytes","ctrl101.A","A"
"cell342","CD14+ Monocytes","ctrl101.A","A"
"cell343","CD4 T cells","ctrl101.A","A"
"cell344","CD4 T cells","ctrl107.A","A"
"cell345","CD14+ Monocytes","ctrl107.A","A"
"cell346","CD14+ Monocytes","ctrl101.B","B"
"cell347","CD14+ Monocytes","ctrl107.B","B"
"cell348","CD4 T cells","ctrl101.A","A"
"cell349","CD4 T cells","ctrl101.A","A"
"cell350","CD14+ Monocytes","ctrl107.A","A"
"cell351","CD4 T cells","ctrl101.A","A"
"cell352","CD14+ Monocytes","ctrl101.A","A"
"cell353","CD14+ Monocytes","ctrl101.A","A"
"cell354","CD14+ Monocytes","ctrl101.A","A"
"cell355","CD4 T cells","ctrl107.A","A"
"cell356","CD14+ Monocytes","ctrl101.B","B"
"cell357","CD4 T cells","ctrl101.A","A"
"cell358","CD4 T cells","ctrl101.A","A"
"cell359","CD4 T cells","ctrl101.A","A"
"cell360","CD14+ Monocytes","ctrl101.A","A"
"cell361","CD14+ Monocytes","ctrl101.A","A"
"cell362","CD4 T cells","ctrl107.A","A"
"cell363","CD4 T cells","ctrl101.B","B"
"cell364","CD14+ Monocytes","ctrl107.A","A"
"cell365","CD14+ Monocytes","ctrl101.A","A"
"cell366","CD14+ Monocytes","ctrl101.B","B"
"cell367","CD4 T cells","ctrl107.A","A"
"cell368","CD14+ Monocytes","ctrl107.B","B"
"cell369","CD4 T cells","ctrl101.A","A"
"cell370","CD14+ Monocytes","ctrl101.A","A"
"cell371","CD14+ Monocytes","ctrl101.A","A"
"cell372","CD14+ Monocytes","ctrl101.A","A"
"cell373","CD4 T cells","ctrl107.A","A"
"cell374","CD4 T cells","ctrl101.A","A"
"cell375","CD4 T cells","ctrl101.A","A"
"cell376","CD4 T cells","ctrl101.A","A"
"cell377","CD4 T cells","ctrl107.B","B"
"cell378","CD14+ Monocytes","ctrl101.A","A"
"cell379","CD4 T cells","ctrl101.A","A"
"cell380","CD4 T cells","ctrl101.A","A"
"cell381","CD14+ Monocytes","ctrl101.A","A"
"cell382","CD14+ Monocytes","ctrl101.A","A"
"cell383","CD4 T cells","ctrl101.B","B"
"cell384","CD4 T cells","ctrl101.A","A"
"cell385","CD14+ Monocytes","ctrl101.A","A"
"cell386","CD14+ Monocytes","ctrl101.A","A"
"cell387","CD14+ Monocytes","ctrl101.A","A"
"cell388","CD4 T cells","ctrl101.A","A"
"cell389","CD14+ Monocytes","ctrl101.A","A"
"cell390","CD4 T cells","ctrl101.A","A"
"cell391","CD14+ Monocytes","ctrl101.A","A"
"cell392","CD14+ Monocytes","ctrl101.A","A"
"cell393","CD4 T cells","ctrl107.A","A"
"cell394","CD4 T cells","ctrl101.A","A"
"cell395","CD14+ Monocytes","ctrl101.A","A"
"cell396","CD4 T cells","ctrl101.A","A"
"cell397","CD14+ Monocytes","ctrl101.A","A"
"cell398","CD14+ Monocytes","ctrl101.B","B"
"cell399","CD4 T cells","ctrl101.A","A"
"cell400","CD4 T cells","ctrl101.A","A"
"cell401","CD4 T cells","ctrl101.A","A"
"cell402","CD14+ Monocytes","ctrl107.A","A"
"cell403","CD4 T cells","ctrl101.A","A"
"cell404","CD4 T cells","ctrl101.B","B"
"cell405","CD14+ Monocytes","ctrl101.A","A"
"cell406","CD14+ Monocytes","ctrl101.A","A"
"cell407","CD4 T cells","ctrl101.A","A"
"cell408","CD14+ Monocytes","ctrl101.B","B"
"cell409","CD4 T cells","ctrl101.A","A"
"cell410","CD14+ Monocytes","ctrl101.A","A"
"cell411","CD14+ Monocytes","ctrl101.A","A"
"cell412","CD14+ Monocytes","ctrl101.A","A"
"cell413","CD4 T cells","ctrl101.A","A"
"cell414","CD4 T cells","ctrl101.B","B"
"cell415","CD4 T cells","ctrl101.B","B"
"cell416","CD14+ Monocytes","ctrl107.B","B"
"cell417","CD4 T cells","ctrl101.A","A"
"cell418","CD4 T cells","ctrl101.A","A"
"cell419","CD14+ Monocytes","ctrl101.A","A"
"cell420","CD14+ Monocytes","ctrl101.A","A"
"cell421","CD14+ Monocytes","ctrl101.A","A"
"cell422","CD4 T cells","ctrl101.A","A"
"cell423","CD14+ Monocytes","ctrl101.B","B"
"cell424","CD4 T cells","ctrl101.A","A"
"cell425","CD14+ Monocytes","ctrl101.A","A"
"cell426","CD4 T cells","ctrl101.A","A"
"cell427","CD14+ Monocytes","ctrl107.A","A"
"cell428","CD4 T cells","ctrl101.A","A"
"cell429","CD4 T cells","ctrl101.A","A"
"cell430","CD14+ Monocytes","ctrl101.A","A"
"cell431","CD4 T cells","ctrl107.A","A"
"cell432","CD4 T cells","ctrl101.A","A"
"cell433","CD14+ Monocytes","ctrl101.A","A"
"cell434","CD4 T cells","ctrl101.A","A"
"cell435","CD14+ Monocytes","ctrl101.B","B"
"cell436","CD14+ Monocytes","ctrl101.A","A"
"cell437","CD4 T cells","ctrl101.B","B"
"cell438","CD14+ Monocytes","ctrl101.A","A"
"cell439","CD14+ Monocytes","ctrl101.A","A"
"cell440","CD14+ Monocytes","ctrl101.A","A"
"cell441","CD4 T cells","ctrl101.A","A"
"cell442","CD14+ Monocytes","ctrl101.A","A"
"cell443","CD4 T cells","ctrl101.B","B"
"cell444","CD14+ Monocytes","ctrl101.A","A"
"cell445","CD14+ Monocytes","ctrl101.A","A"
"cell446","CD4 T cells","ctrl101.A","A"
"cell447","CD14+ Monocytes","ctrl101.A","A"
"cell448","CD4 T cells","ctrl101.A","A"
"cell449","CD14+ Monocytes","ctrl101.A","A"
"cell450","CD14+ Monocytes","ctrl101.A","A"
"cell451","CD14+ Monocytes","ctrl101.A","A"
"cell452","CD14+ Monocytes","ctrl107.A","A"
"cell453","CD14+ Monocytes","ctrl101.A","A"
"cell454","CD14+ Monocytes","ctrl101.A","A"
"cell455","CD14+ Monocytes","ctrl101.A","A"
"cell456","CD4 T cells","ctrl101.A","A"
"cell457","CD14+ Monocytes","ctrl101.A","A"
"cell458","CD14+ Monocytes","ctrl101.A","A"
"cell459","CD4 T cells","ctrl101.B","B"
"cell460","CD14+ Monocytes","ctrl101.B","B"
"cell461","CD4 T cells","ctrl101.B","B"
"cell462","CD14+ Monocytes","ctrl101.B","B"
"cell463","CD4 T cells","ctrl101.A","A"
"cell464","CD4 T cells","ctrl101.A","A"
"cell465","CD14+ Monocytes","ctrl107.A","A"
"cell466","CD4 T cells","ctrl107.A","A"
"cell467","CD14+ Monocytes","ctrl101.A","A"
"cell468","CD14+ Monocytes","ctrl101.A","A"
"cell469","CD14+ Monocytes","ctrl101.A","A"
"cell470","CD14+ Monocytes","ctrl101.A","A"
"cell471","CD14+ Monocytes","ctrl101.A","A"
"cell472","CD14+ Monocytes","ctrl107.A","A"
"cell473","CD14+ Monocytes","ctrl101.A","A"
"cell474","CD14+ Monocytes","ctrl101.A","A"
"cell475","CD4 T cells","ctrl101.A","A"
"cell476","CD14+ Monocytes","ctrl101.A","A"
"cell477","CD14+ Monocytes","ctrl101.A","A"
"cell478","CD14+ Monocytes","ctrl101.A","A"
"cell479","CD4 T cells","ctrl101.A","A"
"cell480","CD4 T cells","ctrl107.B","B"
"cell481","CD4 T cells","ctrl101.A","A"
"cell482","CD14+ Monocytes","ctrl101.A","A"
"cell483","CD4 T cells","ctrl101.A","A"
"cell484","CD4 T cells","ctrl101.A","A"
"cell485","CD14+ Monocytes","ctrl107.A","A"
"cell486","CD4 T cells","ctrl101.B","B"
"cell487","CD4 T cells","ctrl101.A","A"
"cell488","CD4 T cells","ctrl101.B","B"
"cell489","CD4 T cells","ctrl101.A","A"
"cell490","CD14+ Monocytes","ctrl101.B","B"
"cell491","CD14+ Monocytes","ctrl101.A","A"
"cell492","CD14+ Monocytes","ctrl101.A","A"
"cell493","CD4 T cells","ctrl107.B","B"
"cell494","CD14+ Monocytes","ctrl101.B","B"
"cell495","CD4 T cells","ctrl101.A","A"
"cell496","CD4 T cells","ctrl101.A","A"
"cell497","CD14+ Monocytes","ctrl101.A","A"
"cell498","CD4 T cells","ctrl101.A","A"
"cell499","CD14+ Monocytes","ctrl101.B","B"
"cell500","CD4 T cells","ctrl101.A","A"
"cell501","CD14+ Monocytes","ctrl101.A","A"
"cell502","CD14+ Monocytes","ctrl101.A","A"
"cell503","CD14+ Monocytes","ctrl107.A","A"
"cell504","CD14+ Monocytes","ctrl101.A","A"
"cell505","CD4 T cells","ctrl101.A","A"
"cell506","CD14+ Monocytes","ctrl101.A","A"
"cell507","CD14+ Monocytes","ctrl101.A","A"
"cell508","CD4 T cells","ctrl101.A","A"
"cell509","CD4 T cells","ctrl101.A","A"
"cell510","CD14+ Monocytes","ctrl101.A","A"
"cell511","CD14+ Monocytes","ctrl101.A","A"
"cell512","CD4 T cells","ctrl101.A","A"
"cell513","CD14+ Monocytes","ctrl101.A","A"
"cell514","CD4 T cells","ctrl101.A","A"
"cell515","CD4 T cells","ctrl101.A","A"
"cell516","CD14+ Monocytes","ctrl101.A","A"
"cell517","CD14+ Monocytes","ctrl101.A","A"
"cell518","CD14+ Monocytes","ctrl101.A","A"
"cell519","CD14+ Monocytes","ctrl101.A","A"
"cell520","CD14+ Monocytes","ctrl101.B","B"
"cell521","CD14+ Monocytes","ctrl101.A","A"
"cell522","CD14+ Monocytes","ctrl101.A","A"
"cell523","CD4 T cells","ctrl101.A","A"
"cell524","CD14+ Monocytes","ctrl107.B","B"
"cell525","CD14+ Monocytes","ctrl101.A","A"
"cell526","CD14+ Monocytes","ctrl101.A","A"
"cell527","CD14+ Monocytes","ctrl101.A","A"
"cell528","CD4 T cells","ctrl101.A","A"
"cell529","CD14+ Monocytes","ctrl101.A","A"
"cell530","CD14+ Monocytes","ctrl101.A","A"
"cell531","CD14+ Monocytes","ctrl107.B","B"
"cell532","CD14+ Monocytes","ctrl101.B","B"
"cell533","CD4 T cells","ctrl101.A","A"
"cell534","CD4 T cells","ctrl101.A","A"
"cell535","CD4 T cells","ctrl101.A","A"
"cell536","CD14+ Monocytes","ctrl101.A","A"
"cell537","CD14+ Monocytes","ctrl107.B","B"
"cell538","CD14+ Monocytes","ctrl101.A","A"
"cell539","CD4 T cells","ctrl107.A","A"
"cell540","CD14+ Monocytes","ctrl101.A","A"
"cell541","CD14+ Monocytes","ctrl101.A","A"
"cell542","CD14+ Monocytes","ctrl101.B","B"
"cell543","CD14+ Monocytes","ctrl101.A","A"
"cell544","CD4 T cells","ctrl101.A","A"
