"","cluster_id","sample_id","group_id"
"cell46","CD4 T cells","ctrl101.A","A"
"cell47","CD4 T cells","ctrl101.B","B"
"cell48","CD4 T cells","ctrl101.A","A"
"cell49","CD4 T cells","ctrl101.A","A"
"cell50","CD4 T cells","ctrl101.B","B"
"cell51","CD4 T cells","ctrl101.A","A"
"cell52","CD14+ Monocytes","ctrl101.A","A"
"cell53","CD14+ Monocytes","ctrl101.A","A"
"cell54","CD14+ Monocytes","ctrl101.A","A"
"cell55","CD4 T cells","ctrl101.A","A"
"cell56","CD14+ Monocytes","ctrl101.A","A"
"cell57","CD4 T cells","ctrl101.A","A"
"cell58","CD4 T cells","ctrl101.A","A"
"cell59","CD14+ Monocytes","ctrl101.B","B"
"cell60","CD14+ Monocytes","ctrl101.A","A"
"cell61","CD14+ Monocytes","ctrl101.A","A"
"cell62","CD14+ Monocytes","ctrl107.A","A"
"cell63","CD4 T cells","ctrl101.A","A"
"cell64","CD4 T cells","ctrl101.A","A"
"cell65","CD14+ Monocytes","ctrl101.A","A"
"cell66","CD14+ Monocytes","ctrl101.B","B"
"cell67","CD14+ Monocytes","ctrl101.A","A"
"cell68","CD14+ Monocytes","ctrl101.A","A"
"cell69","CD4 T cells","ctrl101.A","A"
"cell70","CD14+ Monocytes","ctrl101.B","B"
"cell71","CD14+ Monocytes","ctrl101.A","A"
"cell72","CD14+ Monocytes","ctrl107.A","A"
"cell73","CD14+ Monocytes","ctrl101.A","A"
"cell74","CD14+ Monocytes","ctrl101.A","A"
"cell75","CD4 T cells","ctrl101.A","A"
"cell76","CD14+ Monocytes","ctrl101.A","A"
"cell77","CD14+ Monocytes","ctrl101.B","B"
"cell78","CD4 T cells","ctrl101.A","A"
"cell79","CD4 T cells","ctrl101.B","B"
"cell80","CD14+ Monocytes","ctrl101.A","A"
"cell81","CD14+ Monocytes","ctrl101.A","A"
"cell82","CD4 T cells","ctrl101.A","A"
"cell83","CD14+ Monocytes","ctrl101.A","A"
"cell84","CD14+ Monocytes","ctrl101.A","A"
"cell85","CD14+ Monocytes","ctrl101.A","A"
"cell86","CD4 T cells","ctrl101.A","A"
"cell87","CD14+ Monocytes","ctrl101.A","A"
"cell88","CD14+ Monocytes","ctrl101.A","A"
"cell89","CD14+ Monocytes","ctrl101.B","B"
"cell90","CD14+ Monocytes","ctrl101.B","B"
"cell91","CD14+ Monocytes","ctrl101.A","A"
"cell92","CD14+ Monocytes","ctrl101.A","A"
"cell93","CD4 T cells","ctrl101.B","B"
"cell94","CD4 T cells","ctrl107.A","A"
"cell95","CD14+ Monocytes","ctrl101.A","A"
"cell96","CD4 T cells","ctrl101.A","A"
"cell97","CD14+ Monocytes","ctrl101.A","A"
"cell98","CD14+ Monocytes","ctrl101.A","A"
"cell99","CD4 T cells","ctrl101.A","A"
"cell100","CD14+ Monocytes","ctrl101.A","A"
"cell101","CD4 T cells","ctrl101.B","B"
"cell102","CD4 T cells","ctrl101.A","A"
"cell103","CD14+ Monocytes","ctrl101.A","A"
"cell104","CD14+ Monocytes","ctrl107.A","A"
"cell105","CD14+ Monocytes","ctrl101.B","B"
"cell106","CD4 T cells","ctrl101.A","A"
"cell107","CD14+ Monocytes","ctrl101.A","A"
"cell108","CD14+ Monocytes","ctrl101.A","A"
"cell109","CD14+ Monocytes","ctrl101.B","B"
"cell110","CD14+ Monocytes","ctrl101.A","A"
"cell111","CD4 T cells","ctrl101.B","B"
"cell112","CD4 T cells","ctrl101.A","A"
"cell113","CD14+ Monocytes","ctrl101.A","A"
"cell114","CD4 T cells","ctrl101.B","B"
"cell115","CD4 T cells","ctrl101.A","A"
"cell116","CD14+ Monocytes","ctrl101.A","A"
"cell117","CD4 T cells","ctrl101.A","A"
"cell118","CD14+ Monocytes","ctrl101.A","A"
"cell119","CD14+ Monocytes","ctrl101.A","A"
"cell120","CD14+ Monocytes","ctrl101.A","A"
"cell121","CD4 T cells","ctrl101.B","B"
"cell122","CD14+ Monocytes","ctrl101.B","B"
"cell123","CD14+ Monocytes","ctrl101.A","A"
"cell124","CD14+ Monocytes","ctrl101.A","A"
"cell125","CD14+ Monocytes","ctrl101.A","A"
"cell126","CD14+ Monocytes","ctrl101.A","A"
"cell127","CD4 T cells","ctrl107.A","A"
"cell128","CD14+ Monocytes","ctrl101.A","A"
"cell129","CD4 T cells","ctrl101.A","A"
"cell130","CD4 T cells","ctrl101.A","A"
"cell131","CD14+ Monocytes","ctrl101.B","B"
"cell132","CD14+ Monocytes","ctrl101.A","A"
"cell133","CD4 T cells","ctrl101.A","A"
"cell134","CD4 T cells","ctrl101.B","B"
"cell135","CD4 T cells","ctrl101.B","B"
"cell136","CD4 T cells","ctrl101.B","B"
"cell137","CD14+ Monocytes","ctrl101.A","A"
"cell138","CD4 T cells","ctrl101.A","A"
"cell139","CD14+ Monocytes","ctrl107.A","A"
"cell140","CD4 T cells","ctrl101.A","A"
"cell141","CD4 T cells","ctrl107.A","A"
"cell142","CD14+ Monocytes","ctrl101.A","A"
"cell143","CD4 T cells","ctrl101.A","A"
"cell144","CD4 T cells","ctrl107.A","A"
"cell145","CD14+ Monocytes","ctrl101.B","B"
"cell146","CD14+ Monocytes","ctrl101.A","A"
"cell147","CD14+ Monocytes","ctrl101.B","B"
"cell148","CD14+ Monocytes","ctrl101.A","A"
"cell149","CD4 T cells","ctrl101.A","A"
"cell150","CD14+ Monocytes","ctrl101.A","A"
"cell151","CD14+ Monocytes","ctrl101.A","A"
"cell152","CD14+ Monocytes","ctrl101.A","A"
"cell153","CD4 T cells","ctrl101.A","A"
"cell154","CD14+ Monocytes","ctrl107.A","A"
"cell155","CD14+ Monocytes","ctrl101.A","A"
"cell156","CD14+ Monocytes","ctrl101.A","A"
"cell157","CD4 T cells","ctrl107.B","B"
"cell158","CD14+ Monocytes","ctrl101.A","A"
"cell159","CD4 T cells","ctrl101.A","A"
"cell160","CD14+ Monocytes","ctrl101.A","A"
"cell161","CD14+ Monocytes","ctrl101.A","A"
"cell162","CD14+ Monocytes","ctrl101.A","A"
"cell163","CD4 T cells","ctrl101.B","B"
"cell164","CD14+ Monocytes","ctrl101.A","A"
"cell165","CD14+ Monocytes","ctrl101.A","A"
"cell166","CD14+ Monocytes","ctrl101.A","A"
"cell167","CD14+ Monocytes","ctrl101.A","A"
"cell168","CD4 T cells","ctrl101.A","A"
"cell169","CD4 T cells","ctrl101.A","A"
"cell170","CD14+ Monocytes","ctrl101.A","A"
"cell171","CD4 T cells","ctrl101.A","A"
"cell172","CD14+ Monocytes","ctrl101.A","A"
"cell173","CD14+ Monocytes","ctrl101.A","A"
"cell174","CD14+ Monocytes","ctrl101.A","A"
"cell175","CD4 T cells","ctrl101.A","A"
"cell176","CD4 T cells","ctrl101.A","A"
"cell177","CD14+ Monocytes","ctrl101.A","A"
"cell178","CD4 T cells","ctrl101.A","A"
"cell179","CD4 T cells","ctrl101.A","A"
"cell180","CD4 T cells","ctrl101.A","A"
"cell181","CD4 T cells","ctrl101.A","A"
"cell182","CD14+ Monocytes","ctrl101.A","A"
"cell183","CD4 T cells","ctrl101.A","A"
"cell184","CD14+ Monocytes","ctrl107.A","A"
"cell185","CD14+ Monocytes","ctrl101.A","A"
"cell186","CD14+ Monocytes","ctrl101.A","A"
"cell187","CD4 T cells","ctrl101.A","A"
"cell188","CD14+ Monocytes","ctrl101.A","A"
"cell189","CD4 T cells","ctrl107.B","B"
"cell190","CD14+ Monocytes","ctrl101.A","A"
"cell191","CD14+ Monocytes","ctrl107.A","A"
"cell192","CD4 T cells","ctrl101.A","A"
"cell193","CD14+ Monocytes","ctrl101.A","A"
"cell194","CD4 T cells","ctrl107.A","A"
"cell195","CD14+ Monocytes","ctrl101.A","A"
"cell196","CD14+ Monocytes","ctrl101.A","A"
"cell197","CD4 T cells","ctrl101.A","A"
"cell198","CD4 T cells","ctrl101.A","A"
"cell199","CD14+ Monocytes","ctrl101.A","A"
"cell200","CD4 T cells","ctrl101.A","A"
"cell201","CD14+ Monocytes","ctrl101.A","A"
"cell202","CD4 T cells","ctrl101.A","A"
"cell203","CD14+ Monocytes","ctrl107.A","A"
"cell204","CD14+ Monocytes","ctrl101.A","A"
"cell205","CD14+ Monocytes","ctrl101.A","A"
"cell206","CD14+ Monocytes","ctrl107.A","A"
"cell207","CD4 T cells","ctrl101.A","A"
"cell208","CD14+ Monocytes","ctrl101.A","A"
"cell209","CD14+ Monocytes","ctrl101.B","B"
"cell210","CD4 T cells","ctrl101.A","A"
"cell211","CD4 T cells","ctrl101.B","B"
"cell212","CD4 T cells","ctrl101.A","A"
"cell213","CD4 T cells","ctrl101.A","A"
"cell214","CD14+ Monocytes","ctrl101.A","A"
"cell215","CD4 T cells","ctrl101.A","A"
"cell216","CD14+ Monocytes","ctrl101.A","A"
"cell217","CD14+ Monocytes","ctrl101.A","A"
"cell218","CD4 T cells","ctrl107.A","A"
"cell219","CD14+ Monocytes","ctrl101.A","A"
"cell220","CD14+ Monocytes","ctrl101.B","B"
"cell221","CD4 T cells","ctrl101.A","A"
"cell222","CD4 T cells","ctrl101.A","A"
"cell223","CD14+ Monocytes","ctrl101.A","A"
"cell224","CD4 T cells","ctrl101.A","A"
"cell225","CD4 T cells","ctrl101.A","A"
"cell226","CD14+ Monocytes","ctrl101.A","A"
"cell227","CD14+ Monocytes","ctrl101.A","A"
"cell228","CD14+ Monocytes","ctrl101.A","A"
"cell229","CD14+ Monocytes","ctrl101.A","A"
"cell230","CD4 T cells","ctrl101.A","A"
"cell231","CD4 T cells","ctrl101.B","B"
"cell232","CD14+ Monocytes","ctrl101.A","A"
"cell233","CD4 T cells","ctrl101.A","A"
"cell234","CD4 T cells","ctrl101.A","A"
"cell235","CD4 T cells","ctrl101.A","A"
"cell236","CD4 T cells","ctrl101.A","A"
"cell237","CD14+ Monocytes","ctrl101.A","A"
"cell238","CD14+ Monocytes","ctrl101.A","A"
"cell239","CD14+ Monocytes","ctrl101.A","A"
"cell240","CD4 T cells","ctrl101.B","B"
"cell241","CD14+ Monocytes","ctrl101.A","A"
"cell242","CD4 T cells","ctrl101.A","A"
"cell243","CD4 T cells","ctrl101.A","A"
"cell244","CD14+ Monocytes","ctrl101.A","A"
"cell245","CD4 T cells","ctrl101.A","A"
"cell246","CD4 T cells","ctrl101.A","A"
"cell247","CD4 T cells","ctrl101.A","A"
"cell248","CD4 T cells","ctrl101.A","A"
"cell249","CD14+ Monocytes","ctrl101.B","B"
"cell250","CD4 T cells","ctrl101.A","A"
"cell251","CD14+ Monocytes","ctrl101.A","A"
"cell252","CD4 T cells","ctrl101.A","A"
"cell253","CD14+ Monocytes","ctrl101.A","A"
"cell254","CD14+ Monocytes","ctrl101.A","A"
"cell255","CD4 T cells","ctrl101.A","A"
"cell256","CD14+ Monocytes","ctrl101.A","A"
"cell257","CD4 T cells","ctrl101.A","A"
"cell258","CD4 T cells","ctrl101.A","A"
"cell259","CD4 T cells","ctrl101.A","A"
"cell260","CD4 T cells","ctrl101.A","A"
"cell261","CD4 T cells","ctrl101.A","A"
"cell262","CD14+ Monocytes","ctrl101.A","A"
"cell263","CD14+ Monocytes","ctrl101.A","A"
"cell264","CD14+ Monocytes","ctrl101.B","B"
"cell265","CD14+ Monocytes","ctrl101.A","A"
"cell266","CD4 T cells","ctrl101.A","A"
"cell267","CD14+ Monocytes","ctrl101.A","A"
"cell268","CD14+ Monocytes","ctrl101.A","A"
"cell269","CD4 T cells","ctrl101.A","A"
"cell270","CD14+ Monocytes","ctrl101.A","A"
"cell271","CD14+ Monocytes","ctrl107.A","A"
"cell272","CD14+ Monocytes","ctrl101.A","A"
"cell273","CD14+ Monocytes","ctrl101.A","A"
"cell274","CD4 T cells","ctrl101.A","A"
"cell275","CD14+ Monocytes","ctrl101.A","A"
"cell276","CD4 T cells","ctrl101.A","A"
"cell277","CD4 T cells","ctrl101.A","A"
"cell278","CD14+ Monocytes","ctrl101.A","A"
"cell279","CD14+ Monocytes","ctrl101.A","A"
"cell280","CD14+ Monocytes","ctrl107.A","A"
"cell281","CD14+ Monocytes","ctrl101.A","A"
"cell282","CD4 T cells","ctrl101.B","B"
"cell283","CD14+ Monocytes","ctrl101.A","A"
"cell284","CD14+ Monocytes","ctrl101.A","A"
"cell285","CD4 T cells","ctrl101.A","A"
"cell286","CD14+ Monocytes","ctrl101.A","A"
"cell287","CD4 T cells","ctrl101.A","A"
"cell288","CD14+ Monocytes","ctrl107.A","A"
"cell289","CD4 T cells","ctrl101.A","A"
"cell290","CD4 T cells","ctrl101.B","B"
"cell291","CD14+ Monocytes","ctrl107.A","A"
"cell292","CD4 T cells","ctrl101.A","A"
"cell293","CD14+ Monocytes","ctrl101.B","B"
"cell294","CD4 T cells","ctrl101.A","A"
"cell295","CD4 T cells","ctrl101.A","A"
"cell296","CD14+ Monocytes","ctrl101.A","A"
"cell297","CD4 T cells","ctrl101.A","A"
"cell298","CD14+ Monocytes","ctrl101.A","A"
"cell299","CD14+ Monocytes","ctrl101.A","A"
"cell300","CD14+ Monocytes","ctrl101.A","A"
"cell301","CD14+ Monocytes","ctrl101.A","A"
"cell302","CD4 T cells","ctrl101.A","A"
"cell303","CD14+ Monocytes","ctrl101.A","A"
"cell304","CD14+ Monocytes","ctrl101.A","A"
"cell305","CD4 T cells","ctrl107.A","A"
"cell306","CD4 T cells","ctrl101.A","A"
"cell307","CD14+ Monocytes","ctrl101.A","A"
"cell308","CD4 T cells","ctrl101.A","A"
"cell309","CD14+ Monocytes","ctrl101.A","A"
"cell310","CD14+ Monocytes","ctrl101.A","A"
"cell311","CD4 T cells","ctrl101.A","A"
"cell312","CD4 T cells","ctrl101.A","A"
"cell313","CD4 T cells","ctrl101.A","A"
"cell314","CD4 T cells","ctrl101.A","A"
"cell315","CD4 T cells","ctrl101.B","B"
"cell316","CD14+ Monocytes","ctrl101.A","A"
"cell317","CD4 T cells","ctrl101.A","A"
"cell318","CD4 T cells","ctrl101.A","A"
"cell319","CD4 T cells","ctrl101.A","A"
"cell320","CD4 T cells","ctrl101.B","B"
"cell321","CD14+ Monocytes","ctrl101.A","A"
"cell322","CD4 T cells","ctrl101.B","B"
"cell323","CD4 T cells","ctrl101.A","A"
"cell324","CD14+ Monocytes","ctrl101.B","B"
"cell325","CD14+ Monocytes","ctrl101.A","A"
"cell326","CD4 T cells","ctrl101.A","A"
"cell327","CD4 T cells","ctrl101.A","A"
"cell328","CD4 T cells","ctrl107.A","A"
"cell329","CD14+ Monocytes","ctrl101.A","A"
"cell330","CD4 T cells","ctrl101.A","A"
"cell331","CD14+ Monocytes","ctrl101.A","A"
"cell332","CD14+ Monocytes","ctrl101.A","A"
"cell333","CD14+ Monocytes","ctrl101.A","A"
"cell334","CD4 T cells","ctrl101.A","A"
"cell335","CD14+ Monocytes","ctrl101.A","A"
"cell336","CD14+ Monocytes","ctrl101.A","A"
"cell337","CD4 T cells","ctrl101.A","A"
"cell338","CD4 T cells","ctrl101.A","A"
"cell339","CD14+ Monocytes","ctrl107.A","A"
"cell340","CD14+ Monocytes","ctrl107.A","A"
"cell341","CD14+ Monocytes","ctrl101.A","A"
"cell342","CD4 T cells","ctrl101.A","A"
"cell343","CD4 T cells","ctrl107.A","A"
"cell344","CD14+ Monocytes","ctrl101.A","A"
"cell345","CD4 T cells","ctrl101.A","A"
"cell346","CD14+ Monocytes","ctrl101.A","A"
"cell347","CD14+ Monocytes","ctrl101.A","A"
"cell348","CD4 T cells","ctrl101.A","A"
"cell349","CD4 T cells","ctrl107.A","A"
"cell350","CD4 T cells","ctrl101.A","A"
"cell351","CD4 T cells","ctrl101.A","A"
"cell352","CD4 T cells","ctrl101.A","A"
"cell353","CD4 T cells","ctrl101.A","A"
"cell354","CD14+ Monocytes","ctrl101.B","B"
"cell355","CD14+ Monocytes","ctrl101.A","A"
"cell356","CD4 T cells","ctrl101.A","A"
"cell357","CD14+ Monocytes","ctrl101.A","A"
"cell358","CD14+ Monocytes","ctrl101.A","A"
"cell359","CD14+ Monocytes","ctrl101.A","A"
"cell360","CD14+ Monocytes","ctrl101.B","B"
"cell361","CD4 T cells","ctrl101.A","A"
"cell362","CD14+ Monocytes","ctrl101.A","A"
"cell363","CD4 T cells","ctrl101.A","A"
"cell364","CD4 T cells","ctrl107.A","A"
"cell365","CD4 T cells","ctrl101.A","A"
"cell366","CD4 T cells","ctrl107.A","A"
"cell367","CD14+ Monocytes","ctrl101.A","A"
"cell368","CD14+ Monocytes","ctrl107.A","A"
"cell369","CD14+ Monocytes","ctrl101.B","B"
"cell370","CD14+ Monocytes","ctrl101.A","A"
"cell371","CD4 T cells","ctrl107.A","A"
"cell372","CD14+ Monocytes","ctrl101.A","A"
"cell373","CD4 T cells","ctrl101.A","A"
"cell374","CD4 T cells","ctrl107.A","A"
"cell375","CD4 T cells","ctrl101.A","A"
"cell376","CD4 T cells","ctrl101.A","A"
"cell377","CD14+ Monocytes","ctrl101.A","A"
"cell378","CD14+ Monocytes","ctrl101.A","A"
"cell379","CD14+ Monocytes","ctrl101.A","A"
"cell380","CD4 T cells","ctrl101.A","A"
"cell381","CD4 T cells","ctrl101.A","A"
"cell382","CD14+ Monocytes","ctrl107.A","A"
"cell383","CD14+ Monocytes","ctrl101.A","A"
"cell384","CD4 T cells","ctrl101.A","A"
"cell385","CD4 T cells","ctrl101.A","A"
"cell386","CD4 T cells","ctrl101.A","A"
"cell387","CD14+ Monocytes","ctrl101.A","A"
"cell388","CD4 T cells","ctrl101.A","A"
"cell389","CD14+ Monocytes","ctrl101.B","B"
"cell390","CD14+ Monocytes","ctrl101.A","A"
"cell391","CD4 T cells","ctrl101.A","A"
"cell392","CD14+ Monocytes","ctrl101.A","A"
"cell393","CD4 T cells","ctrl101.A","A"
"cell394","CD4 T cells","ctrl101.A","A"
"cell395","CD14+ Monocytes","ctrl101.A","A"
"cell396","CD14+ Monocytes","ctrl101.A","A"
"cell397","CD14+ Monocytes","ctrl101.A","A"
"cell398","CD14+ Monocytes","ctrl107.A","A"
"cell399","CD14+ Monocytes","ctrl101.A","A"
"cell400","CD14+ Monocytes","ctrl101.A","A"
"cell401","CD4 T cells","ctrl107.A","A"
"cell402","CD14+ Monocytes","ctrl101.A","A"
"cell403","CD14+ Monocytes","ctrl101.A","A"
"cell404","CD14+ Monocytes","ctrl101.A","A"
"cell405","CD14+ Monocytes","ctrl101.A","A"
"cell406","CD14+ Monocytes","ctrl101.A","A"
"cell407","CD14+ Monocytes","ctrl101.A","A"
"cell408","CD14+ Monocytes","ctrl101.B","B"
"cell409","CD14+ Monocytes","ctrl101.B","B"
"cell410","CD4 T cells","ctrl101.A","A"
"cell411","CD14+ Monocytes","ctrl107.A","A"
"cell412","CD4 T cells","ctrl101.A","A"
"cell413","CD14+ Monocytes","ctrl101.B","B"
"cell414","CD14+ Monocytes","ctrl107.A","A"
"cell415","CD14+ Monocytes","ctrl107.B","B"
"cell416","CD4 T cells","ctrl101.A","A"
"cell417","CD4 T cells","ctrl101.A","A"
"cell418","CD14+ Monocytes","ctrl101.A","A"
"cell419","CD14+ Monocytes","ctrl101.A","A"
"cell420","CD14+ Monocytes","ctrl101.A","A"
"cell421","CD4 T cells","ctrl101.A","A"
"cell422","CD14+ Monocytes","ctrl101.A","A"
"cell423","CD14+ Monocytes","ctrl101.A","A"
"cell424","CD14+ Monocytes","ctrl101.A","A"
"cell425","CD14+ Monocytes","ctrl101.A","A"
"cell426","CD4 T cells","ctrl101.A","A"
"cell427","CD4 T cells","ctrl101.A","A"
"cell428","CD14+ Monocytes","ctrl101.A","A"
"cell429","CD4 T cells","ctrl101.B","B"
"cell430","CD4 T cells","ctrl101.A","A"
"cell431","CD14+ Monocytes","ctrl101.A","A"
"cell432","CD4 T cells","ctrl101.A","A"
"cell433","CD14+ Monocytes","ctrl101.A","A"
"cell434","CD14+ Monocytes","ctrl101.A","A"
"cell435","CD14+ Monocytes","ctrl101.A","A"
"cell436","CD4 T cells","ctrl101.A","A"
"cell437","CD4 T cells","ctrl101.A","A"
"cell438","CD4 T cells","ctrl101.A","A"
"cell439","CD4 T cells","ctrl101.A","A"
"cell440","CD4 T cells","ctrl101.A","A"
"cell441","CD14+ Monocytes","ctrl101.A","A"
"cell442","CD14+ Monocytes","ctrl101.A","A"
"cell443","CD4 T cells","ctrl107.B","B"
"cell444","CD14+ Monocytes","ctrl101.A","A"
"cell445","CD4 T cells","ctrl107.A","A"
"cell446","CD14+ Monocytes","ctrl107.B","B"
"cell447","CD4 T cells","ctrl107.A","A"
"cell448","CD4 T cells","ctrl101.A","A"
"cell449","CD4 T cells","ctrl101.B","B"
"cell450","CD4 T cells","ctrl101.A","A"
"cell451","CD14+ Monocytes","ctrl101.A","A"
"cell452","CD14+ Monocytes","ctrl101.A","A"
"cell453","CD14+ Monocytes","ctrl101.A","A"
"cell454","CD4 T cells","ctrl101.B","B"
"cell455","CD14+ Monocytes","ctrl101.A","A"
"cell456","CD4 T cells","ctrl107.A","A"
"cell457","CD4 T cells","ctrl101.A","A"
"cell458","CD14+ Monocytes","ctrl101.A","A"
"cell459","CD14+ Monocytes","ctrl101.A","A"
"cell460","CD4 T cells","ctrl101.A","A"
"cell461","CD4 T cells","ctrl101.A","A"
"cell462","CD4 T cells","ctrl101.A","A"
"cell463","CD14+ Monocytes","ctrl107.A","A"
"cell464","CD4 T cells","ctrl101.A","A"
"cell465","CD4 T cells","ctrl101.A","A"
"cell466","CD14+ Monocytes","ctrl101.A","A"
"cell467","CD14+ Monocytes","ctrl101.A","A"
"cell468","CD14+ Monocytes","ctrl101.A","A"
"cell469","CD14+ Monocytes","ctrl107.A","A"
"cell470","CD4 T cells","ctrl101.A","A"
"cell471","CD4 T cells","ctrl101.A","A"
"cell472","CD14+ Monocytes","ctrl101.B","B"
"cell473","CD4 T cells","ctrl101.A","A"
"cell474","CD4 T cells","ctrl101.A","A"
"cell475","CD14+ Monocytes","ctrl101.A","A"
"cell476","CD4 T cells","ctrl107.B","B"
"cell477","CD4 T cells","ctrl107.A","A"
"cell478","CD14+ Monocytes","ctrl101.A","A"
"cell479","CD14+ Monocytes","ctrl101.A","A"
"cell480","CD4 T cells","ctrl101.A","A"
"cell481","CD4 T cells","ctrl101.A","A"
"cell482","CD4 T cells","ctrl101.A","A"
"cell483","CD14+ Monocytes","ctrl101.B","B"
"cell484","CD4 T cells","ctrl101.A","A"
"cell485","CD4 T cells","ctrl101.B","B"
"cell486","CD4 T cells","ctrl101.A","A"
"cell487","CD14+ Monocytes","ctrl101.A","A"
"cell488","CD14+ Monocytes","ctrl101.A","A"
"cell489","CD4 T cells","ctrl101.B","B"
"cell490","CD4 T cells","ctrl101.A","A"
"cell491","CD4 T cells","ctrl107.A","A"
"cell492","CD4 T cells","ctrl101.A","A"
"cell493","CD14+ Monocytes","ctrl101.B","B"
"cell494","CD4 T cells","ctrl101.A","A"
"cell495","CD4 T cells","ctrl101.A","A"
"cell496","CD4 T cells","ctrl107.A","A"
"cell497","CD14+ Monocytes","ctrl101.A","A"
"cell498","CD14+ Monocytes","ctrl101.A","A"
"cell499","CD14+ Monocytes","ctrl101.A","A"
"cell500","CD14+ Monocytes","ctrl101.A","A"
"cell501","CD14+ Monocytes","ctrl101.A","A"
"cell502","CD14+ Monocytes","ctrl101.A","A"
"cell503","CD14+ Monocytes","ctrl101.A","A"
"cell504","CD4 T cells","ctrl101.B","B"
"cell505","CD4 T cells","ctrl101.A","A"
"cell506","CD14+ Monocytes","ctrl101.A","A"
"cell507","CD14+ Monocytes","ctrl101.A","A"
"cell508","CD14+ Monocytes","ctrl101.A","A"
"cell509","CD14+ Monocytes","ctrl101.A","A"
"cell510","CD4 T cells","ctrl101.A","A"
"cell511","CD14+ Monocytes","ctrl101.A","A"
"cell512","CD4 T cells","ctrl101.A","A"
"cell513","CD14+ Monocytes","ctrl101.A","A"
"cell514","CD4 T cells","ctrl101.A","A"
"cell515","CD4 T cells","ctrl107.A","A"
"cell516","CD14+ Monocytes","ctrl101.A","A"
"cell517","CD14+ Monocytes","ctrl101.A","A"
"cell518","CD14+ Monocytes","ctrl101.A","A"
"cell519","CD4 T cells","ctrl101.A","A"
"cell520","CD14+ Monocytes","ctrl101.B","B"
"cell521","CD4 T cells","ctrl101.A","A"
"cell522","CD14+ Monocytes","ctrl107.B","B"
"cell523","CD4 T cells","ctrl101.B","B"
"cell524","CD14+ Monocytes","ctrl101.A","A"
"cell525","CD14+ Monocytes","ctrl101.A","A"
"cell526","CD14+ Monocytes","ctrl107.A","A"
"cell527","CD14+ Monocytes","ctrl101.A","A"
"cell528","CD14+ Monocytes","ctrl101.A","A"
"cell529","CD4 T cells","ctrl101.A","A"
"cell530","CD4 T cells","ctrl101.A","A"
"cell531","CD14+ Monocytes","ctrl107.A","A"
"cell532","CD14+ Monocytes","ctrl101.A","A"
"cell533","CD4 T cells","ctrl107.A","A"
"cell534","CD14+ Monocytes","ctrl101.A","A"
"cell535","CD14+ Monocytes","ctrl107.A","A"
"cell536","CD14+ Monocytes","ctrl101.A","A"
"cell537","CD4 T cells","ctrl101.A","A"
"cell538","CD4 T cells","ctrl101.A","A"
"cell539","CD14+ Monocytes","ctrl101.A","A"
"cell540","CD4 T cells","ctrl101.A","A"
"cell541","CD4 T cells","ctrl101.A","A"
"cell542","CD4 T cells","ctrl101.A","A"
"cell543","CD4 T cells","ctrl101.B","B"
"cell544","CD14+ Monocytes","ctrl101.A","A"
"cell545","CD4 T cells","ctrl101.A","A"
